survived,pclass,sex,age,sibsp,parch,fare,class,adult_male,alone,who_child,who_man,who_woman,embarked_C,embarked_Q,embarked_S,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,deck_access_Full Access,deck_access_Limited Access,deck_access_No Access,class_description_First Class - Luxury,class_description_Second Class - Standard,class_description_Third Class - Economy,family_size,age_group_Child,age_group_Teenager,age_group_Adult,age_group_old
0,3,0,-0.5690324569816325,1,0,-0.5272048737135522,Third,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,2,False,False,False,False
1,1,1,0.6003294723265692,1,0,0.6999351202431888,First,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,2,True,False,False,False
1,3,1,-0.2766919746545821,0,0,-0.5142691122281875,Third,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,1,False,False,False,False
1,1,1,0.3810741105812813,1,0,0.3514687027367726,First,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,2,True,False,False,False
0,3,0,0.3810741105812813,0,0,-0.5118736008420088,Third,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,1,True,False,False,False
0,3,0,-0.012521477578764014,0,0,-0.504048902450195,Third,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,1,False,False,False,False
0,1,0,1.769691401634771,0,0,0.327753140013604,First,True,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,1,True,False,False,False
0,3,0,-2.0307348686168845,3,1,-0.2622613144021947,Third,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,5,False,False,False,False
1,3,1,-0.2036068540728195,0,2,-0.45278495878597214,Third,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,3,False,False,False,False
1,2,1,-1.1537134216357334,1,0,-0.08986498377990833,Second,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,2,False,False,False,False
1,3,1,-1.8845646274533594,1,1,-0.34610421291844706,Third,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,3,False,False,False,False
1,1,1,2.0620318839618212,0,0,-0.1573379156875703,First,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,1,True,False,False,False
0,3,0,-0.7152026981451577,0,0,-0.5118736008420088,Third,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,1,False,False,False,False
0,3,0,0.6734145929083317,1,5,-0.0667875852900178,Third,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,7,True,False,False,False
0,3,1,-1.1537134216357334,0,0,-0.5156259298773191,Third,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,1,False,False,False,False
1,2,1,1.8427765222165333,0,0,-0.35951907668104743,Second,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,1,True,False,False,False
0,3,0,-2.0307348686168845,4,1,-0.10799038113229036,Third,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,6,False,False,False,False
1,2,0,-0.012521477578764014,0,0,-0.41701134994933475,Second,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,1,False,False,False,False
0,3,1,0.08873362825423092,1,0,-0.3211908945021892,Third,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,2,True,False,False,False
1,3,1,-0.012521477578764014,0,0,-0.5276839759907879,Third,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,1,False,False,False,False
0,2,0,0.3810741105812813,0,0,-0.16787816578675632,Second,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,1,True,False,False,False
1,2,0,0.30798898999951874,0,0,-0.41701134994933475,Second,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,1,True,False,False,False
1,3,1,-1.0806283010539708,0,0,-0.512272213936669,Third,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,1,False,False,False,False
1,1,0,-0.1305217334910569,0,0,0.014180699562820224,First,True,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,1,False,False,False,False
0,3,1,-1.592224145126309,3,1,-0.2622613144021947,Third,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,5,False,False,False,False
1,3,1,0.6003294723265692,1,5,-0.06463162504245701,Third,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7,True,False,False,False
0,3,0,-0.012521477578764014,0,0,-0.5276839759907879,Third,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,1,False,False,False,False
0,1,0,-0.7882878187269203,3,2,4.374011422407943,First,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,6,False,False,False,False
1,3,1,-0.012521477578764014,0,0,-0.5151468276000833,Third,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,1,False,False,False,False
0,3,0,-0.012521477578764014,0,0,-0.5148287036879988,Third,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,1,False,False,False,False
0,1,0,0.7464997134900944,0,0,-0.1349005978400667,First,True,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,1,True,False,False,False
1,1,1,-0.012521477578764014,1,0,2.1417934235841116,First,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,2,False,False,False,False
1,3,1,-0.012521477578764014,0,0,-0.5176228281688375,Third,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,1,False,False,False,False
0,2,0,2.646712848615922,0,0,-0.46492157767290754,Second,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,1,True,False,False,False
0,1,0,-0.1305217334910569,1,0,0.9085841619793483,First,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,2,False,False,False,False
0,1,0,0.8926699546536195,1,0,0.33038820253840057,First,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,2,True,False,False,False
